,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
1130,Refrigerated Warehouse,47.58999,-122.33539,1920_1940,0.0,2,,24430,0,15667.0,0,1,1,23.62,1232822.875
1131,Small- and Mid-Sized Office,47.58686,-122.33469,1920_1940,1.0,1,90.0,22580,0,22580.0,0,1,1,9.65,928584.875
1132,Warehouse,47.60192,-122.31641,1920_1940,1.0,1,18.0,20000,0,20000.0,0,1,1,33.52,743528.125
1133,Warehouse,47.60224,-122.31529,1940_1960,1.0,1,,42000,0,38000.0,0,1,1,82.07,2070005.625
1134,Self-Storage Facility,47.61234,-122.31628,1960_1980,1.0,1,,24248,0,21018.0,0,1,1,0.79,111969.7031
1135,Senior Care Community,47.70178,-122.32352,2000_,1.0,6,100.0,244500,0,244500.0,0,1,1,292.8,11019641.0
1136,Warehouse,47.55608,-122.3388,1920_1940,1.0,1,,24617,0,22752.0,0,1,0,0.75,106918.0
1137,Other,47.55768,-122.33137,2000_,1.0,3,,42355,84710,84710.0,0,1,0,22.62,3245111.5
1138,Retail Store,47.55772,-122.33017,1960_1980,1.0,1,69.0,37247,0,37247.0,0,1,1,58.36,1748644.5
1139,Retail Store,47.69274,-122.37602,1980_2000,1.0,1,11.0,25384,0,23468.0,0,1,1,77.23,3027867.5
1140,Small- and Mid-Sized Office,47.58462,-122.3347,_1920,0.0,3,96.0,49052,0,32393.0,0,1,0,10.05,1441445.625
1141,Warehouse,47.58318,-122.3347,_1920,1.0,2,34.0,52110,0,32000.0,0,1,1,25.15,586589.1875
1142,Small- and Mid-Sized Office,47.57595,-122.33624,1920_1940,1.0,2,,39036,0,27636.0,0,1,1,39.25,1528295.75
1143,Small- and Mid-Sized Office,47.57529,-122.33475,1920_1940,1.0,1,96.0,26310,0,24000.0,0,1,1,14.99,771512.6875
1144,Retail Store,47.54723,-122.28455,1960_1980,1.0,1,88.0,37883,0,28734.0,0,1,1,413.1,12434593.0
1145,K-12 School,47.53887,-122.37564,1960_1980,1.0,3,95.0,29874,0,31375.0,0,1,1,54.27,1274049.75
1146,Worship Facility,47.64,-122.39743,1960_1980,1.0,1,35.0,20140,0,22000.0,0,1,1,47.08,992794.6875
1147,Self-Storage Facility,47.70281,-122.35623,1980_2000,1.0,2,,40485,31389,71874.0,0,1,1,44.97,1242811.75
1148,Small- and Mid-Sized Office,47.60104,-122.30155,1960_1980,1.0,2,93.0,39953,0,30100.0,0,1,1,28.05,1508561.875
1149,Retail Store,47.60009,-122.3017,1980_2000,1.0,2,15.0,21200,0,14168.0,0,1,0,11.69,1676426.5
1150,Supermarket / Grocery Store,47.59881,-122.30189,1960_1980,1.0,1,27.0,30630,0,28470.0,0,1,0,42.24,6058494.0
1151,Retail Store,47.59881,-122.30189,1960_1980,1.0,2,25.0,23421,0,19271.0,0,1,0,13.22,1896626.375
1152,K-12 School,47.6763,-122.38051,1920_1940,1.0,3,83.0,117116,0,117116.0,0,1,1,256.31,5722325.5
1153,Worship Facility,47.67628,-122.38238,1920_1940,1.0,2,66.0,24120,0,24120.0,0,1,1,31.54,893053.1875
1154,Worship Facility,47.6764,-122.38502,1920_1940,1.0,3,88.0,35736,0,28970.0,0,1,1,51.15,1148202.25
1155,Warehouse,47.57298,-122.33644,1940_1960,1.0,1,10.0,51050,0,49500.0,0,1,1,27.75,1206165.75
1156,Retail Store,47.57044,-122.33475,1940_1960,1.0,2,40.0,21900,0,21900.0,0,1,1,42.66,1302192.875
1157,Distribution Center,47.57227,-122.33843,1940_1960,1.0,1,100.0,16300,0,65164.0,0,1,1,1.6,150167.7969
1158,Warehouse,47.57339,-122.33735,1960_1980,1.0,1,1.0,33462,0,33462.0,0,1,0,9.67,1386445.375
1159,Mixed Use Property,47.57506,-122.33862,1940_1960,1.0,1,,35310,0,10471.0,0,1,1,44.68,1331469.75
1160,Other,47.54089,-122.32323,1960_1980,1.0,3,,36140,0,34733.0,0,1,0,32.44,4653535.0
1161,Other,47.59886,-122.31678,1980_2000,1.0,2,,26579,21384,29640.0,0,1,1,298.91,8163413.0
1162,Warehouse,47.59774,-122.31936,1920_1940,1.0,1,65.0,23903,0,18350.0,0,1,1,14.37,415364.5938
1163,Self-Storage Facility,47.67923,-122.31715,1940_1960,1.0,3,,22522,0,22522.0,0,1,1,23.52,561473.875
1164,Self-Storage Facility,47.67905,-122.31697,1980_2000,1.0,4,,38959,0,38959.0,0,1,1,23.84,905750.375
1165,Warehouse,47.5867,-122.30519,1920_1940,1.0,2,,25955,0,14150.0,0,1,0,8.49,1218112.0
1166,K-12 School,47.60776,-122.32481,1920_1940,1.0,4,75.0,46100,0,46100.0,1,1,1,78.19,2177064.75
1167,Worship Facility,47.70901,-122.35498,1940_1960,1.0,2,96.0,21936,0,21936.0,0,1,1,28.78,608755.375
1168,Other,47.7162,-122.2956,1940_1960,1.0,1,,25406,0,25406.0,0,1,1,41.96,2442220.0
1169,Small- and Mid-Sized Office,47.56029,-122.2858,1960_1980,1.0,2,55.0,23250,0,22014.0,0,1,0,6.3,904236.0
1170,Warehouse,47.55966,-122.33146,1940_1960,1.0,1,32.0,30000,0,30000.0,0,1,1,120.72,2794837.0
1171,Mixed Use Property,47.61376,-122.33445,2000_,1.0,39,65.0,962428,112124,311521.0,0,1,1,449.59,26416770.0
1172,University,47.65019,-122.36173,1940_1960,1.0,2,,122679,0,101035.0,0,1,1,588.25,16378152.0
1173,University,47.65019,-122.36173,1940_1960,14.0,2,,537000,0,533826.0,0,1,1,3768.66,90609640.0
1174,Small- and Mid-Sized Office,47.70868,-122.30089,1960_1980,1.0,4,78.0,23022,0,23022.0,0,1,1,14.64,1027230.875
1175,Refrigerated Warehouse,47.56173,-122.32885,1960_1980,1.0,1,,27263,0,22000.0,0,1,0,17.22,2470642.0
1176,Warehouse,47.56318,-122.32889,1960_1980,1.0,1,12.0,31569,0,33000.0,0,1,1,125.59,3064039.5
1177,Warehouse,47.56362,-122.32876,1940_1960,1.0,1,57.0,22509,0,22509.0,0,1,0,1.24,177812.7969
1178,Warehouse,47.56424,-122.32902,1940_1960,1.0,1,75.0,39984,0,31184.0,0,1,1,36.82,1073156.375
1179,Worship Facility,47.62322037,-122.320017,_1920,1.0,1,91.0,26440,0,26440.0,0,1,1,27.93,719905.1875
1180,Self-Storage Facility,47.59291,-122.31042,1940_1960,1.0,2,,28800,0,28800.0,0,1,1,29.44,1143826.625
1181,K-12 School,47.61791,-122.28594,2000_,4.0,2,92.0,28500,0,31100.0,0,1,1,28.64,1162561.125
1182,Restaurant,47.62902,-122.33173,1960_1980,1.0,2,,26519,0,13592.0,0,1,1,97.27,3717064.0
1183,Mixed Use Property,47.62774,-122.33384,1980_2000,1.0,2,,19237,15402,23373.0,0,1,1,515.71,15480681.0
1184,Other,47.62643,-122.33946,1920_1940,1.0,2,,26300,0,26300.0,0,1,1,116.94,3537841.5
1185,Restaurant,47.63734,-122.33988,1960_1980,0.0,2,,34072,0,34072.0,0,1,1,226.81,6584966.5
1186,Small- and Mid-Sized Office,47.63614,-122.33982,1940_1960,1.0,3,77.0,23355,0,21915.0,0,1,0,5.86,840549.375
1187,Small- and Mid-Sized Office,47.63575,-122.33895,1960_1980,1.0,4,30.0,30840,0,29255.0,0,1,1,101.21,3542708.5
1188,Other,47.67642,-122.3035,1940_1960,1.0,1,,20332,0,20332.0,0,1,1,10.99,392683.6875
1189,Worship Facility,47.61118,-122.288,_1920,1.0,1,100.0,21850,0,21850.0,0,1,1,13.09,317794.4063
1190,Mixed Use Property,47.66827,-122.29978,1980_2000,1.0,4,,25297,6985,12600.0,0,1,1,34.62,1391714.25
1191,Large Office,47.60449,-122.33803,1980_2000,1.0,13,,224493,83064,162422.0,0,1,0,66.32,9512829.0
1192,Self-Storage Facility,47.64633,-122.3508,_1920,1.0,2,,28309,0,28309.0,0,1,1,11.85,430308.9063
1193,Hotel,47.60154,-122.3352,_1920,1.0,4,77.0,45500,0,45500.0,1,1,1,122.0,2799595.0
1194,Small- and Mid-Sized Office,47.60106,-122.33458,_1920,1.0,5,,38376,0,29258.0,0,1,0,14.35,2058532.875
1195,Small- and Mid-Sized Office,47.60149,-122.33458,_1920,1.0,4,,42804,0,24120.0,0,1,1,46.53,1544501.75
1196,Mixed Use Property,47.6005,-122.33514,2000_,0.0,5,,57600,0,27600.0,0,1,1,223.36,6983736.0
1197,Small- and Mid-Sized Office,47.60023,-122.33459,_1920,1.0,4,,33300,0,26639.0,0,1,1,18.76,1287497.375
1198,Other,47.59976,-122.33514,_1920,1.0,3,,22200,0,22200.0,0,1,1,7.05,188745.7031
1199,Warehouse,47.64306,-122.34219,1960_1980,1.0,2,,29498,0,19749.0,0,1,1,50.05,3768900.5
1200,Warehouse,47.64793,-122.34358,1920_1940,1.0,1,27.0,23050,0,23050.0,0,1,0,3.25,466672.6875
1201,Small- and Mid-Sized Office,47.64747,-122.34086,2000_,1.0,4,45.0,48350,0,,0,1,0,22.09,3168131.0
1202,Retail Store,47.66097,-122.3192,1920_1940,1.0,1,82.0,46059,0,46000.0,0,1,1,20.66,1582655.875
1203,Medical Office,47.67437,-122.3181,1960_1980,1.0,2,72.0,23595,0,23595.0,0,1,1,6.53,817409.625
1204,Small- and Mid-Sized Office,47.59938,-122.33328,_1920,1.0,3,96.0,28142,0,28142.0,1,1,1,34.08,847097.8125
1205,Small- and Mid-Sized Office,47.59954,-122.33327,_1920,1.0,3,,28760,0,12314.0,1,1,1,124.59,2615973.5
1206,Small- and Mid-Sized Office,47.59979,-122.33318,_1920,1.0,4,99.0,39030,0,32001.0,0,1,1,13.69,713326.875
1207,Small- and Mid-Sized Office,47.60071,-122.33377,_1920,0.0,3,58.0,47215,0,23659.0,0,1,1,63.81,2092696.0
1208,Small- and Mid-Sized Office,47.61459,-122.31724,_1920,1.0,3,,30720,0,29720.0,0,1,1,25.53,1288669.5
1209,Mixed Use Property,47.61428,-122.31726,_1920,1.0,2,,20640,0,9750.0,0,1,0,2.88,412562.4063
1210,Mixed Use Property,47.61421,-122.3193,_1920,1.0,2,,34914,0,14983.0,0,1,0,9.29,1333289.625
1211,Small- and Mid-Sized Office,47.61508,-122.31845,_1920,1.0,3,,20897,0,10228.0,0,1,1,17.79,964923.8125
1212,Retail Store,47.61478,-122.31847,_1920,1.0,2,100.0,36940,0,36940.0,0,1,0,2.35,336745.4063
1213,Small- and Mid-Sized Office,47.61435,-122.31859,_1920,1.0,3,,22866,0,22866.0,0,1,1,20.76,1153690.125
1214,Retail Store,47.61466,-122.31984,_1920,1.0,1,78.0,30240,0,32205.0,0,1,1,18.19,1264626.875
1215,Other,47.65729,-122.31937,1960_1980,1.0,2,,28586,0,27022.0,0,1,0,35.4,5078204.0
1216,Hotel,47.59766,-122.32394,_1920,1.0,3,,28800,0,21600.0,0,1,1,190.45,4644346.0
1217,Restaurant,47.59697,-122.32474,_1920,1.0,3,,28800,0,,0,1,1,29.21,899924.1875
1218,Small- and Mid-Sized Office,47.59644,-122.32415,1960_1980,1.0,3,2.0,35202,0,24227.0,0,1,0,25.14,3605755.5
1219,Senior Care Community,47.61318,-122.32747,1960_1980,1.0,6,1.0,69035,26082,69035.0,0,1,1,183.79,7202141.5
1220,Worship Facility,47.61426,-122.32661,_1920,1.0,2,69.0,24600,0,24600.0,0,1,1,5.66,331059.5
1221,Worship Facility,47.60514,-122.32613,_1920,1.0,1,,48850,0,28725.0,1,1,1,65.05,1063480.5
1222,Hospital,47.58767,-122.38672,1960_1980,0.0,3,100.0,54863,0,109726.0,0,1,0,14.21,2037720.625
1223,Warehouse,47.55317,-122.33289,1960_1980,1.0,1,,25000,0,13393.0,0,1,1,65.89,1989103.875
1224,Warehouse,47.55544,-122.33294,1940_1960,1.0,1,,25000,0,24000.0,0,1,1,8.61,287132.5
1225,Other,47.55523,-122.33448,1920_1940,1.0,1,,22622,0,23000.0,0,1,1,26.56,774075.6875
1226,Small- and Mid-Sized Office,47.61543,-122.32657,_1920,1.0,3,94.0,27544,0,22365.0,0,1,1,17.41,1031667.5
1227,Small- and Mid-Sized Office,47.61161,-122.34592,1980_2000,1.0,7,,47415,0,25884.0,0,1,0,10.31,1478979.25
1228,Other,47.63644,-122.34218,1960_1980,1.0,3,,22960,0,22960.0,0,1,1,95.38,2266983.0
1229,Supermarket / Grocery Store,47.62048,-122.31386,1980_2000,1.0,1,17.0,44739,0,44739.0,0,1,1,393.07,14585813.0
1230,Mixed Use Property,47.66816,-122.27706,1940_1960,1.0,1,,22778,0,21194.0,0,1,1,120.86,2470566.0
1231,Worship Facility,47.68517,-122.38733,1940_1960,1.0,2,20.0,21562,0,21052.0,0,1,1,37.28,866806.0
1232,Other,47.62322,-122.29006,1940_1960,1.0,1,,25753,0,25753.0,0,1,1,62.51,1378130.25
1233,Other,47.62816,-122.28067,1920_1940,1.0,3,,71280,0,71280.0,0,1,1,861.85,22767828.0
1234,Senior Care Community,47.63429,-122.27652,1960_1980,1.0,16,51.0,153312,0,148590.0,0,1,1,792.6,20628680.0
1235,Mixed Use Property,47.61811,-122.33908,2000_,1.0,19,87.0,1004813,201857,319361.0,0,1,1,393.29,27684480.0
1236,Worship Facility,47.53857,-122.28026,1960_1980,1.0,1,73.0,24200,0,24200.0,0,1,1,22.38,826488.6875
1238,Self-Storage Facility,47.56785,-122.37039,1980_2000,1.0,3,,66610,0,66720.0,0,1,1,18.81,640377.0
1239,Other,47.56774,-122.33289,1940_1960,1.0,1,,36000,0,34000.0,0,1,1,58.79,3646053.75
1240,K-12 School,47.71387,-122.3535,1920_1940,1.0,2,62.0,23222,0,15006.0,0,1,1,55.06,1219863.125
1241,Mixed Use Property,47.61426,-122.3253,1920_1940,1.0,2,,24476,0,7501.0,0,1,1,91.69,2662054.25
1242,Retail Store,47.61386,-122.32481,_1920,0.0,2,,24750,0,19240.0,0,1,1,28.07,782343.8125
1243,K-12 School,47.61339,-122.32594,_1920,1.0,3,52.0,60000,0,48783.0,0,1,1,121.63,3625407.5
1244,Other,47.61449,-122.32592,1940_1960,1.0,2,,46560,0,46560.0,0,1,1,17.31,690557.6875
1245,Other,47.63303,-122.34268,1960_1980,1.0,3,61.0,30408,0,25000.0,0,1,0,10.04,1440554.25
1246,Small- and Mid-Sized Office,47.63439,-122.34078,_1920,1.0,3,89.0,30109,0,28400.0,0,1,1,34.03,1465795.75
1247,Small- and Mid-Sized Office,47.63985,-122.36712,1940_1960,1.0,2,92.0,25481,0,25481.0,0,1,1,38.59,917100.3125
1248,Senior Care Community,47.53515,-122.26556,1960_1980,1.0,1,76.0,141297,0,141297.0,0,1,1,717.93,19423344.0
1249,Small- and Mid-Sized Office,47.62298,-122.33082,_1920,1.0,2,73.0,27788,0,32610.0,0,1,1,35.99,2119806.25
1250,Hotel,47.729,-122.34473,1980_2000,1.0,4,73.0,33120,8584,41704.0,0,1,1,58.52,1943899.25
1251,Warehouse,47.56683,-122.33358,1940_1960,1.0,2,53.0,22324,0,21000.0,0,1,1,22.33,588856.125
1252,Other,47.5661,-122.33358,1940_1960,1.0,2,,31360,0,32000.0,0,1,1,39.65,1725108.25
1253,Mixed Use Property,47.56555,-122.33362,1940_1960,1.0,1,,30496,0,14344.0,0,1,1,46.01,1992158.25
1254,Small- and Mid-Sized Office,47.61545,-122.3238,1920_1940,1.0,3,84.0,27600,0,13175.0,0,1,1,12.57,1072151.375
1255,Senior Care Community,47.66312,-122.35311,1960_1980,1.0,2,98.0,55974,0,56000.0,0,1,1,203.21,6135173.0
1256,Senior Care Community,47.70883,-122.28887,1940_1960,1.0,1,95.0,22583,0,22583.0,0,1,1,70.92,1981360.0
1257,Small- and Mid-Sized Office,47.66117,-122.3391,1980_2000,0.0,3,35.0,24328,7358,25927.0,0,1,0,16.07,2305643.5
1258,Small- and Mid-Sized Office,47.6483,-122.33438,1980_2000,1.0,3,92.0,20660,6034,24914.0,0,1,0,5.02,720170.6875
1259,Warehouse,47.70833,-122.34429,1960_1980,1.0,1,69.0,29400,0,25000.0,0,1,0,1.59,227509.5
1260,Hotel,47.54774,-122.32091,1980_2000,1.0,3,85.0,22452,0,22452.0,0,1,1,41.88,1244150.0
1261,Other,47.66148,-122.31279,_1920,1.0,2,22.0,25767,0,17434.0,0,1,0,11.02,1581352.75
1262,Retail Store,47.66188,-122.31279,1940_1960,1.0,4,75.0,33910,0,14585.0,0,1,1,38.21,1822834.25
1263,Worship Facility,47.6645,-122.31224,1920_1940,1.0,2,,78401,0,62400.0,0,1,1,87.41,2462408.25
1264,Warehouse,47.64748,-122.33435,1960_1980,1.0,2,38.0,78716,0,41275.0,0,1,1,48.13,4103800.75
1265,K-12 School,47.66389,-122.33692,_1920,1.0,2,92.0,33300,0,30740.0,0,1,1,69.2,1594733.625
1266,Supermarket / Grocery Store,47.66185,-122.33594,1940_1960,1.0,1,29.0,28808,0,31174.0,0,1,1,226.73,9232576.0
1267,Small- and Mid-Sized Office,47.66345,-122.3134,1940_1960,1.0,1,58.0,20962,7004,20962.0,0,1,0,7.67,1100499.75
1268,Supermarket / Grocery Store,47.66429,-122.31389,1940_1960,1.0,1,37.0,26226,0,25828.0,0,1,1,156.18,7588060.5
1269,Mixed Use Property,47.6616,-122.31393,1960_1980,1.0,2,17.0,19193,15755,19183.0,0,1,0,8.09,1159807.125
1270,Small- and Mid-Sized Office,47.6342,-122.32661,1980_2000,1.0,3,,27640,9999,20434.0,0,1,0,43.21,6197824.5
1271,Other,47.60135,-122.33327,_1920,1.0,1,,21420,0,10420.0,0,1,1,9.72,810636.875
1272,Small- and Mid-Sized Office,47.6011,-122.33197,_1920,1.0,1,94.0,20880,0,20880.0,0,1,0,4.76,683274.0
1273,Mixed Use Property,47.59938,-122.33197,1960_1980,1.0,3,,26000,0,13000.0,0,1,1,18.62,1063035.875
1274,Small- and Mid-Sized Office,47.59954,-122.33201,_1920,1.0,3,,38675,0,12100.0,0,1,1,43.91,1938776.75
1275,Medical Office,47.5195,-122.26935,2000_,1.0,2,8.0,25880,0,25880.0,0,1,1,19.81,1941728.75
1276,Worship Facility,47.66517,-122.31037,1920_1940,1.0,3,,41013,0,32098.0,0,1,1,37.43,1080821.0
1277,Other,47.66453,-122.30999,2000_,1.0,2,,21075,0,18075.0,0,1,1,53.88,1581036.75
1278,Worship Facility,47.67842,-122.31949,1940_1960,1.0,3,83.0,46485,0,63922.0,0,1,1,47.03,1544995.75
1279,Small- and Mid-Sized Office,47.67819,-122.3231,1960_1980,1.0,4,96.0,56896,0,40768.0,0,1,1,28.46,1402048.5
1280,Worship Facility,47.67783,-122.32577,1960_1980,1.0,2,60.0,27500,0,27500.0,0,1,1,14.79,577123.125
1281,Small- and Mid-Sized Office,47.59856,-122.33248,1920_1940,1.0,2,90.0,36630,0,22000.0,0,1,0,3.78,541943.3125
1282,Small- and Mid-Sized Office,47.59954,-122.33115,_1920,0.0,3,,26830,0,16838.0,0,1,1,60.93,2099386.75
1283,Small- and Mid-Sized Office,47.59971,-122.33065,_1920,1.0,5,95.0,41920,0,41920.0,0,1,0,7.69,1103594.75
1284,Small- and Mid-Sized Office,47.60048,-122.33157,_1920,1.0,5,92.0,36879,0,44000.0,0,1,1,26.94,1537570.25
1285,Other,47.60055,-122.33057,_1920,1.0,6,,29820,0,29820.0,0,1,1,35.72,1601955.625
1286,Small- and Mid-Sized Office,47.60026,-122.3299,_1920,0.0,2,70.0,33640,0,27322.0,0,1,0,7.52,1078535.75
1287,Warehouse,47.59986,-122.32987,_1920,1.0,4,18.0,43484,0,26416.0,0,1,0,10.92,1567040.75
1288,Mixed Use Property,47.599,-122.32717,_1920,1.0,3,,22480,0,10800.0,0,1,0,6.84,981009.125
1289,Hotel,47.5985,-122.32677,1920_1940,1.0,4,49.0,33018,0,23193.0,0,1,1,173.67,4857581.5
1290,Small- and Mid-Sized Office,47.5962,-122.32548,1960_1980,1.0,2,91.0,26510,0,30800.0,0,1,1,11.18,987063.6875
1291,Warehouse,47.65429,-122.32618,1920_1940,1.0,1,80.0,40028,0,33222.0,0,1,1,6.76,942415.1875
1292,Small- and Mid-Sized Office,47.65373,-122.32721,2000_,1.0,3,23.0,26282,18228,26282.0,0,1,0,15.25,2188051.25
1293,Worship Facility,47.71705,-122.28577,1940_1960,1.0,1,90.0,21624,0,21624.0,0,1,1,20.96,666687.5
1294,Small- and Mid-Sized Office,47.59819,-122.32599,1980_2000,0.0,3,,21600,0,11600.0,0,1,1,32.42,1539176.625
1295,Mixed Use Property,47.59769,-122.32537,_1920,1.0,3,,20620,0,10060.0,0,1,1,20.78,747456.875
1296,Hotel,47.59983,-122.32598,_1920,1.0,5,99.0,40552,0,40552.0,0,1,1,53.25,1200180.875
1297,Small- and Mid-Sized Office,47.60105,-122.32542,_1920,1.0,3,,31432,0,23059.0,0,1,0,10.04,1439572.375
1298,Retail Store,47.59935,-122.32468,_1920,1.0,2,100.0,24550,0,13500.0,0,1,1,6.73,977230.3125
1299,Other,47.60285,-122.31458,_1920,1.0,3,,25864,0,13364.0,0,1,1,34.61,1028277.313
1300,Other,47.66192,-122.30998,1920_1940,1.0,3,,20686,0,20686.0,0,1,1,42.71,1207504.0
1305,Senior Care Community,47.60133,-122.31088,1980_2000,1.0,2,48.0,74840,0,74840.0,0,1,1,249.46,8268496.5
1306,K-12 School,47.6032,-122.30596,1920_1940,1.0,2,40.0,22344,0,22344.0,0,1,1,55.23,1522596.75
1307,University,47.62531,-122.32303,1920_1940,1.0,3,,31900,0,26000.0,0,1,1,96.2,2466100.0
1308,Mixed Use Property,47.59737,-122.32487,_1920,1.0,3,,49299,0,24099.0,0,1,0,9.23,4729846.5
1309,Supermarket / Grocery Store,47.58217,-122.38479,1980_2000,1.0,1,,31841,0,30899.0,0,1,1,404.21,13140574.0
1310,Mixed Use Property,47.627,-122.29153,1980_2000,1.0,2,,21036,0,11021.0,0,1,1,78.36,2735811.5
1311,Mixed Use Property,47.66272,-122.31798,1980_2000,1.0,2,9.0,32928,0,24288.0,0,1,0,39.4,5652231.0
1312,Warehouse,47.54761,-122.32759,1940_1960,1.0,1,33.0,44476,0,41256.0,0,1,1,29.7,1368120.5
1313,Small- and Mid-Sized Office,47.54494,-122.32543,1960_1980,1.0,1,66.0,35017,0,19785.0,0,1,1,27.06,1295485.25
1315,Worship Facility,47.58671,-122.30201,1960_1980,1.0,2,98.0,22952,0,22962.0,0,1,1,19.28,470666.6875
1316,Warehouse,47.54443,-122.32688,1960_1980,1.0,1,43.0,21040,0,21040.0,0,1,1,19.14,592088.125
1317,Warehouse,47.54491,-122.32758,1940_1960,1.0,2,52.0,28032,0,30000.0,0,1,1,46.61,1321065.0
1318,Distribution Center,47.54333,-122.32792,1960_1980,1.0,1,82.0,25620,0,25620.0,0,1,1,20.46,550324.1875
1319,Warehouse,47.59775,-122.32219,1980_2000,1.0,3,14.0,33238,0,33238.0,0,1,0,11.38,1632472.0
1320,K-12 School,47.60745,-122.32542,_1920,1.0,4,8.0,27800,0,11093.0,0,1,1,38.36,1181428.75
1321,Large Office,47.60331,-122.33389,1980_2000,1.0,6,82.0,706176,0,222807.0,0,1,0,92.52,13270687.0
1322,Supermarket / Grocery Store,47.54427,-122.38609,1980_2000,1.0,1,22.0,33706,0,31746.0,0,1,1,206.33,8687690.0
1323,Mixed Use Property,47.65532,-122.37133,1960_1980,1.0,2,,37600,0,18400.0,0,1,1,93.55,2171751.5
1324,K-12 School,47.70597,-122.36113,1940_1960,1.0,1,93.0,42128,0,42128.0,0,1,1,49.55,1709307.5
1325,Other,47.61314,-122.32262,_1920,1.0,3,,33708,0,33708.0,1,1,1,19.61,786324.0
1326,Other,47.73368,-122.31366,1940_1960,1.0,2,,47237,0,47661.0,0,1,0,41.7,5981430.0
1327,Supermarket / Grocery Store,47.68217,-122.31675,1980_2000,1.0,1,18.0,38000,38585,41447.0,0,1,1,364.27,13906080.0
1328,Worship Facility,47.66295,-122.31494,1920_1940,1.0,3,75.0,26373,0,26373.0,0,1,1,38.18,964236.0
1329,Small- and Mid-Sized Office,47.60207,-122.28481,1940_1960,6.0,2,,75868,0,50379.0,0,1,0,25.14,3605749.75
1330,Mixed Use Property,47.62164,-122.31238,1940_1960,1.0,2,,21656,0,5656.0,0,1,1,51.89,1607972.25
1331,Other,47.63286,-122.36141,1940_1960,1.0,2,,36771,0,34856.0,0,1,0,37.97,5447076.5
1332,Warehouse,47.53104,-122.32784,1960_1980,1.0,1,,24024,0,14314.0,0,1,0,2.62,375773.5938
1333,Warehouse,47.53326,-122.32579,1940_1960,1.0,1,34.0,42420,0,27420.0,0,1,1,29.39,965425.1875
1334,Distribution Center,47.53379,-122.33063,1960_1980,1.0,1,,36982,0,34382.0,0,1,1,6.88,374753.8125
1335,Warehouse,47.53651,-122.32954,1960_1980,1.0,2,,23400,0,20002.0,0,1,0,3.06,439266.9063
1336,Other,47.62518,-122.35317,1940_1960,1.0,2,,30720,0,28120.0,0,1,1,67.15,1683064.25
1337,Warehouse,47.56626,-122.3244,1960_1980,1.0,1,,23232,0,23232.0,0,1,0,0.89,127374.0
1338,Warehouse,47.56501,-122.3248,1960_1980,1.0,1,100.0,35046,0,32546.0,0,1,1,17.65,1063269.125
1339,Refrigerated Warehouse,47.56477,-122.32628,1960_1980,1.0,1,,25577,0,13349.0,0,1,1,14.19,895784.6875
1340,Warehouse,47.56448,-122.32484,1960_1980,1.0,1,89.0,43380,0,42844.0,0,1,0,2.82,405062.0
1341,Small- and Mid-Sized Office,47.65576,-122.34208,1980_2000,1.0,3,8.0,20410,0,20410.0,0,1,1,77.84,2720238.25
1342,Small- and Mid-Sized Office,47.70349,-122.33424,1980_2000,1.0,3,87.0,18396,6300,18396.0,0,1,0,4.35,624125.625
1343,Worship Facility,47.71479,-122.32824,2000_,1.0,1,47.0,24955,0,24955.0,0,1,1,21.87,689803.0
1344,Other,47.62342,-122.29688,1980_2000,1.0,3,,34074,0,34074.0,0,1,1,286.33,8521989.0
1345,Hotel,47.60505,-122.3361,2000_,0.0,10,23.0,370327,22225,198400.0,0,1,1,423.57,17457560.0
1346,Worship Facility,47.71856,-122.32084,1960_1980,1.0,2,,76475,0,45442.0,0,1,1,67.33,1765813.625
1347,K-12 School,47.71923,-122.32171,1980_2000,1.0,2,86.0,32961,0,32961.0,0,1,1,62.94,1573155.0
1348,K-12 School,47.62291,-122.28879,1940_1960,1.0,1,87.0,109794,0,109794.0,0,1,1,115.34,3296526.25
1349,Other,47.61796,-122.30847,_1920,1.0,3,,25200,0,25200.0,0,1,1,53.02,1242666.25
1350,Supermarket / Grocery Store,47.70941,-122.31707,1980_2000,1.0,1,56.0,44755,0,46978.0,0,1,1,338.58,11521140.0
1351,Other,47.61340332,-122.3203506,_1920,1.0,2,,22320,0,22320.0,0,1,1,4.8,209644.9063
1352,Mixed Use Property,47.6139,-122.32034,_1920,1.0,3,,24000,0,12000.0,0,1,1,9.09,932083.5
1353,Small- and Mid-Sized Office,47.61393,-122.31589,_1920,1.0,3,65.0,23422,0,23422.0,0,1,1,128.07,2701872.0
1354,Other,47.61674,-122.31111,1960_1980,5.0,2,,27551,11328,38879.0,0,1,1,28.79,3371659.75
1355,Mixed Use Property,47.61554,-122.31098,1980_2000,1.0,5,93.0,38409,14625,22486.0,0,1,1,83.65,3392129.0
1356,Warehouse,47.61481,-122.31536,_1920,1.0,2,99.0,23040,0,23040.0,0,1,1,0.87,79711.79688
1357,Warehouse,47.61469,-122.31596,1940_1960,1.0,2,66.0,61880,0,61880.0,0,1,0,4.15,595936.5
