,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
180,Large Office,47.6182,-122.352,1980_2000,1.0,6,64.0,272410,124216,274002.0,0,1,0,141.95,20361158.0
181,Large Office,47.61598,-122.34369,2000_,1.0,6,74.0,203880,83591,191814.0,0,1,0,103.97,14913424.0
182,Large Office,47.61734,-122.34434,1940_1960,1.0,3,94.0,144118,48512,146157.0,0,1,1,46.03,5357833.0
183,Large Office,47.6176,-122.35686,1980_2000,1.0,8,3.0,191117,61986,158681.0,0,1,0,208.79,29949248.0
184,Supermarket / Grocery Store,47.7019,-122.36374,1940_1960,1.0,1,54.0,60880,0,61666.0,0,1,1,384.27,14293972.0
185,Small- and Mid-Sized Office,47.60227,-122.33202,_1920,1.0,5,77.0,50176,0,50328.0,0,1,1,24.91,2933288.75
186,Large Office,47.60198,-122.33174,_1920,1.0,42,72.0,304346,0,245028.0,1,1,1,741.3,23262244.0
187,Warehouse,47.54066,-122.33023,1960_1980,1.0,1,97.0,128800,0,119200.0,0,1,1,78.92,1809101.5
188,Large Office,47.60932,-122.33388,1920_1940,1.0,8,76.0,321945,0,166919.0,1,1,0,355.05,13656587.0
189,Large Office,47.60842,-122.33305,1960_1980,1.0,22,77.0,336330,0,256299.0,1,1,1,530.66,18967014.0
190,Large Office,47.60869,-122.33588,1940_1960,1.0,21,79.0,298426,0,286538.0,1,1,0,1084.79,27076922.0
191,Large Office,47.60896,-122.33481,1960_1980,1.0,42,69.0,635824,0,718473.0,0,1,0,337.97,48479988.0
192,Hotel,47.60804,-122.33391,1920_1940,1.0,12,45.0,542305,0,542305.0,1,1,1,2573.75,56485204.0
193,Retail Store,47.57936,-122.29744,1960_1980,1.0,2,80.0,291940,0,191940.0,0,1,1,162.45,11688601.0
194,Mixed Use Property,47.52871,-122.29443,1960_1980,0.0,1,42.0,88400,0,33450.0,0,1,1,116.03,4383100.5
195,Warehouse,47.72912,-122.34677,1940_1960,1.0,1,96.0,52311,0,51116.0,0,1,1,48.65,930611.875
196,Other,47.62323,-122.33028,2000_,1.0,5,,71421,69710,74831.0,0,1,0,21.51,3085814.0
197,Large Office,47.62333,-122.3296,2000_,1.0,5,60.0,106465,70067,103494.0,0,1,0,40.46,5803409.0
198,Warehouse,47.65825,-122.3683,1960_1980,1.0,1,2.0,52500,0,49395.0,0,1,1,70.47,3989399.0
199,Warehouse,47.66587,-122.38476,1940_1960,1.0,2,55.0,57300,0,29001.0,0,1,1,156.67,4560492.0
200,Large Office,47.61429,-122.35263,_1920,1.0,6,90.0,350310,0,305233.0,0,1,1,224.36,18102026.0
201,Large Office,47.60723,-122.33611,1980_2000,1.0,55,92.0,1115000,285000,994116.0,1,1,1,588.9,53079164.0
202,Hotel,47.60968,-122.33379,1920_1940,1.0,21,58.0,305548,0,310000.0,1,1,1,1510.85,33729336.0
203,Large Office,47.61054,-122.33466,1980_2000,1.0,46,89.0,1023998,512608,1002403.0,0,1,1,530.18,56606136.0
204,Large Office,47.61003,-122.33452,1940_1960,1.0,10,91.0,135918,0,144570.0,1,1,0,193.72,6423556.5
205,Retail Store,47.61159,-122.33601,_1920,1.0,4,25.0,79957,0,35694.0,0,1,0,36.61,5252131.0
206,Large Office,47.61125,-122.33494,1980_2000,1.0,29,93.0,500000,0,411301.0,0,1,0,131.4,18848780.0
207,Large Office,47.61005,-122.3361,1920_1940,0.0,10,72.0,132326,0,92006.0,1,1,1,65.2,6029020.0
208,Large Office,47.61033,-122.3357,1980_2000,1.0,6,45.0,96630,13200,83485.0,0,1,0,51.14,7335905.5
